Nombre_producto;Forma_entrega;Transportadora;Numero_seguimiento
Camara Secreta Reloj Despertador Wifi Visión Nocturna FullhdColor : NegroDTNK-77-F;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43247848034
Rodillera Larga Compresión Pierna Complet Protector DeportivColor : Negro | Talla : UnicaTRQ-15;Colecta de Mercado Envíos;MELI Logistics;MEL43247654053FMXDF01
Balanza Gramera Digital De Cocina 5000 Gramos 5 Kilos Tara Capacidad Máxima 5 G Color Plata DG-S-20;Colecta de Mercado Envíos;Envia;MEL43246546526FMXDF01
Lapicero Esfero Bolígrafo Espía De Lujo Hd 1920x1080 P Para Vídeo Fotos Y Audios CI-AD-23;Colecta de Mercado Envíos;MELI Logistics;MEL43247424457FMXDF01
Bolsa Grande Maquillaje Profesional,separadores AjustablesColor : Negro | Diseño de la tela : FixRD-90-F;Colecta de Mercado Envíos;MELI Logistics;MEL43246952053FMXDF01
Soporte Base Tv 26 A 63Color : NegroNIA-E-9;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43247434254
Camara Deportiva De Video Resistente Al Agua Casco Moto Bici Color Segun Disponibilidad CI-AD-32;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43247782443
Máquina De Coser Eléctrica Compacta Para El Hogar Con Luz Nocturna Portátil, Pedal De Pie Y Mesa De Mano Para Costura Recta. Incluye Kit De Dos Puntadas VT-32;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43248279488
Tabla Push Up Sistema Completo De Flexiones VLZ-S-28;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43250641058
Controlador De Carga Solar 10a, Regulador Inteligente Baterí IND-S-25;Mercado Envíos Flex;TECHNOLOGYLUNAR20231128160211;43250366271
Tendedero Perchero Plegable De Piso Acero Inoxidable RuedasColor : NegroTS-27-F;Colecta de Mercado Envíos;MELI Logistics;MEL43191348477FMXDF01
